cell_id,dataset,condition,realization,order,benchmark,status,value,passes,operator,threshold,role,reason,planned,scored,numerator,wilson95,paired_population_sha256,equivalence,interpretation,measured,ceiling
d62c99156470a7900dc43bc6,counterfact,S1_literal,0,103,revision_latest,unavailable,unavailable,unavailable,ge,0.95,secondary_descriptive,complete supported 50-case inventory required,50,0,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
d62c99156470a7900dc43bc6,counterfact,S1_literal,0,103,old_alias_reappearance,unavailable,unavailable,unavailable,le,0.02,secondary_descriptive,complete supported 50-case inventory required,50,0,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
d62c99156470a7900dc43bc6,counterfact,S1_literal,0,103,revision_semantic,unavailable,unavailable,unavailable,ge,0.95,secondary_descriptive,complete supported 50-case inventory required,50,0,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
d62c99156470a7900dc43bc6,counterfact,S1_literal,0,103,unseen_1000,unavailable,unavailable,unavailable,le,0.15,secondary_descriptive,complete outside100 at actual occupancy1000 required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
d62c99156470a7900dc43bc6,counterfact,S1_literal,0,103,outside_change_1000_100,unavailable,unavailable,unavailable,abs_le,0.05,secondary_descriptive,same outside100 and both exact actual occupancies required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable_single_cell_has_no_realization_cluster_interval,unavailable,unavailable,unavailable
d62c99156470a7900dc43bc6,counterfact,S1_literal,0,103,retention_change,unavailable,unavailable,unavailable,ge,-0.05,secondary_descriptive,complete 100 and1000 histories required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,descriptive horizon change; retention histories differ,unavailable,unavailable
d62c99156470a7900dc43bc6,counterfact,S1_literal,0,103,es_change,unavailable,unavailable,unavailable,ge,-0.02,secondary_descriptive,complete 100 and1000 histories required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,descriptive horizon change; retention histories differ,unavailable,unavailable
d62c99156470a7900dc43bc6,counterfact,S1_literal,0,103,ls_change,unavailable,unavailable,unavailable,ge,-0.01,secondary_descriptive,complete 100 and1000 histories required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,descriptive horizon change; retention histories differ,unavailable,unavailable
d62c99156470a7900dc43bc6,counterfact,S1_literal,0,103,state_budget_ratio,unavailable,unavailable,unavailable,le,1,secondary_descriptive,complete measurement and September20 admitted ceiling required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
d62c99156470a7900dc43bc6,counterfact,S1_literal,0,103,peak_budget_ratio,unavailable,unavailable,unavailable,le,1,secondary_descriptive,complete measurement and September20 admitted ceiling required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
d62c99156470a7900dc43bc6,counterfact,S1_literal,0,103,wall_budget_ratio,unavailable,unavailable,unavailable,le,1,secondary_descriptive,complete measurement and September20 admitted ceiling required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
fa0defe230fa592c6e1395ce,counterfact,S1_literal,0,104,revision_latest,unavailable,unavailable,unavailable,ge,0.95,secondary_descriptive,complete supported 50-case inventory required,50,0,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
fa0defe230fa592c6e1395ce,counterfact,S1_literal,0,104,old_alias_reappearance,unavailable,unavailable,unavailable,le,0.02,secondary_descriptive,complete supported 50-case inventory required,50,0,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
fa0defe230fa592c6e1395ce,counterfact,S1_literal,0,104,revision_semantic,unavailable,unavailable,unavailable,ge,0.95,secondary_descriptive,complete supported 50-case inventory required,50,0,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
fa0defe230fa592c6e1395ce,counterfact,S1_literal,0,104,unseen_1000,unavailable,unavailable,unavailable,le,0.15,secondary_descriptive,complete outside100 at actual occupancy1000 required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
fa0defe230fa592c6e1395ce,counterfact,S1_literal,0,104,outside_change_1000_100,unavailable,unavailable,unavailable,abs_le,0.05,secondary_descriptive,same outside100 and both exact actual occupancies required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable_single_cell_has_no_realization_cluster_interval,unavailable,unavailable,unavailable
fa0defe230fa592c6e1395ce,counterfact,S1_literal,0,104,retention_change,unavailable,unavailable,unavailable,ge,-0.05,secondary_descriptive,complete 100 and1000 histories required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,descriptive horizon change; retention histories differ,unavailable,unavailable
fa0defe230fa592c6e1395ce,counterfact,S1_literal,0,104,es_change,unavailable,unavailable,unavailable,ge,-0.02,secondary_descriptive,complete 100 and1000 histories required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,descriptive horizon change; retention histories differ,unavailable,unavailable
fa0defe230fa592c6e1395ce,counterfact,S1_literal,0,104,ls_change,unavailable,unavailable,unavailable,ge,-0.01,secondary_descriptive,complete 100 and1000 histories required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,descriptive horizon change; retention histories differ,unavailable,unavailable
fa0defe230fa592c6e1395ce,counterfact,S1_literal,0,104,state_budget_ratio,unavailable,unavailable,unavailable,le,1,secondary_descriptive,complete measurement and September20 admitted ceiling required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
fa0defe230fa592c6e1395ce,counterfact,S1_literal,0,104,peak_budget_ratio,unavailable,unavailable,unavailable,le,1,secondary_descriptive,complete measurement and September20 admitted ceiling required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
fa0defe230fa592c6e1395ce,counterfact,S1_literal,0,104,wall_budget_ratio,unavailable,unavailable,unavailable,le,1,secondary_descriptive,complete measurement and September20 admitted ceiling required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
9d8fa010baff9d2225fff4d4,counterfact,S1_literal,1,100,revision_latest,unavailable,unavailable,unavailable,ge,0.95,secondary_descriptive,complete supported 50-case inventory required,50,0,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
9d8fa010baff9d2225fff4d4,counterfact,S1_literal,1,100,old_alias_reappearance,unavailable,unavailable,unavailable,le,0.02,secondary_descriptive,complete supported 50-case inventory required,50,0,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
9d8fa010baff9d2225fff4d4,counterfact,S1_literal,1,100,revision_semantic,unavailable,unavailable,unavailable,ge,0.95,secondary_descriptive,complete supported 50-case inventory required,50,0,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
9d8fa010baff9d2225fff4d4,counterfact,S1_literal,1,100,unseen_1000,unavailable,unavailable,unavailable,le,0.15,secondary_descriptive,complete outside100 at actual occupancy1000 required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
9d8fa010baff9d2225fff4d4,counterfact,S1_literal,1,100,outside_change_1000_100,unavailable,unavailable,unavailable,abs_le,0.05,secondary_descriptive,same outside100 and both exact actual occupancies required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable_single_cell_has_no_realization_cluster_interval,unavailable,unavailable,unavailable
9d8fa010baff9d2225fff4d4,counterfact,S1_literal,1,100,retention_change,unavailable,unavailable,unavailable,ge,-0.05,secondary_descriptive,complete 100 and1000 histories required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,descriptive horizon change; retention histories differ,unavailable,unavailable
9d8fa010baff9d2225fff4d4,counterfact,S1_literal,1,100,es_change,unavailable,unavailable,unavailable,ge,-0.02,secondary_descriptive,complete 100 and1000 histories required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,descriptive horizon change; retention histories differ,unavailable,unavailable
9d8fa010baff9d2225fff4d4,counterfact,S1_literal,1,100,ls_change,unavailable,unavailable,unavailable,ge,-0.01,secondary_descriptive,complete 100 and1000 histories required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,descriptive horizon change; retention histories differ,unavailable,unavailable
9d8fa010baff9d2225fff4d4,counterfact,S1_literal,1,100,state_budget_ratio,unavailable,unavailable,unavailable,le,1,secondary_descriptive,complete measurement and September20 admitted ceiling required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
9d8fa010baff9d2225fff4d4,counterfact,S1_literal,1,100,peak_budget_ratio,unavailable,unavailable,unavailable,le,1,secondary_descriptive,complete measurement and September20 admitted ceiling required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
9d8fa010baff9d2225fff4d4,counterfact,S1_literal,1,100,wall_budget_ratio,unavailable,unavailable,unavailable,le,1,secondary_descriptive,complete measurement and September20 admitted ceiling required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
d059ce23baa1380031ffc8cb,counterfact,S1_literal,1,101,revision_latest,unavailable,unavailable,unavailable,ge,0.95,secondary_descriptive,complete supported 50-case inventory required,50,0,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
d059ce23baa1380031ffc8cb,counterfact,S1_literal,1,101,old_alias_reappearance,unavailable,unavailable,unavailable,le,0.02,secondary_descriptive,complete supported 50-case inventory required,50,0,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
d059ce23baa1380031ffc8cb,counterfact,S1_literal,1,101,revision_semantic,unavailable,unavailable,unavailable,ge,0.95,secondary_descriptive,complete supported 50-case inventory required,50,0,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
d059ce23baa1380031ffc8cb,counterfact,S1_literal,1,101,unseen_1000,unavailable,unavailable,unavailable,le,0.15,secondary_descriptive,complete outside100 at actual occupancy1000 required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
d059ce23baa1380031ffc8cb,counterfact,S1_literal,1,101,outside_change_1000_100,unavailable,unavailable,unavailable,abs_le,0.05,secondary_descriptive,same outside100 and both exact actual occupancies required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable_single_cell_has_no_realization_cluster_interval,unavailable,unavailable,unavailable
d059ce23baa1380031ffc8cb,counterfact,S1_literal,1,101,retention_change,unavailable,unavailable,unavailable,ge,-0.05,secondary_descriptive,complete 100 and1000 histories required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,descriptive horizon change; retention histories differ,unavailable,unavailable
d059ce23baa1380031ffc8cb,counterfact,S1_literal,1,101,es_change,unavailable,unavailable,unavailable,ge,-0.02,secondary_descriptive,complete 100 and1000 histories required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,descriptive horizon change; retention histories differ,unavailable,unavailable
d059ce23baa1380031ffc8cb,counterfact,S1_literal,1,101,ls_change,unavailable,unavailable,unavailable,ge,-0.01,secondary_descriptive,complete 100 and1000 histories required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,descriptive horizon change; retention histories differ,unavailable,unavailable
d059ce23baa1380031ffc8cb,counterfact,S1_literal,1,101,state_budget_ratio,unavailable,unavailable,unavailable,le,1,secondary_descriptive,complete measurement and September20 admitted ceiling required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
d059ce23baa1380031ffc8cb,counterfact,S1_literal,1,101,peak_budget_ratio,unavailable,unavailable,unavailable,le,1,secondary_descriptive,complete measurement and September20 admitted ceiling required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
d059ce23baa1380031ffc8cb,counterfact,S1_literal,1,101,wall_budget_ratio,unavailable,unavailable,unavailable,le,1,secondary_descriptive,complete measurement and September20 admitted ceiling required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
