cell_id,dataset,condition,realization,order,status,artifact_complete,missing_checkpoints,scientific_admission,endpoint_complete,invalid_reason,endpoint_complete_scope,primary_metrics_complete,full_validation_complete,sampled_drift_complete,unreceipted_checkpoints
5d467b73f60b99b3d07f8c02,mquake,R1_nonlearned,1,102,missing_cell,False,"[100,300]",False,False,unavailable,full_validation AND sampled_drift only,False,False,unavailable,unavailable
a81b13b1b22e0bfe489daaa0,mquake,R1_nonlearned,1,103,missing_cell,False,"[100,300]",False,False,unavailable,full_validation AND sampled_drift only,False,False,unavailable,unavailable
1aff34869825a76d502d92a3,mquake,R1_nonlearned,1,104,missing_cell,False,"[100,300]",False,False,unavailable,full_validation AND sampled_drift only,False,False,unavailable,unavailable
3b70d3d44297fc1197610228,zsre,v0_stable,1,100,missing_cell,False,"[100,300,1000]",False,False,unavailable,full_validation AND sampled_drift only,False,False,unavailable,unavailable
84bae28d26e5f5a3e555b601,zsre,v0_stable,1,101,missing_cell,False,"[100,300,1000]",False,False,unavailable,full_validation AND sampled_drift only,False,False,unavailable,unavailable
07b9bad1f676110cb8bae7df,zsre,v0_stable,1,102,missing_cell,False,"[100,300,1000]",False,False,unavailable,full_validation AND sampled_drift only,False,False,unavailable,unavailable
0ff8a61a760d6836f469629b,zsre,v0_stable,1,103,missing_cell,False,"[100,300,1000]",False,False,unavailable,full_validation AND sampled_drift only,False,False,unavailable,unavailable
40034291ac69439c82ae1fc3,zsre,v0_stable,1,104,missing_cell,False,"[100,300,1000]",False,False,unavailable,full_validation AND sampled_drift only,False,False,unavailable,unavailable
6d8d11dbbbc7b736c6386bca,counterfact,v0_stable,1,100,missing_cell,False,"[100,300,1000]",False,False,unavailable,full_validation AND sampled_drift only,False,False,unavailable,unavailable
cefda69ce81ca1253435bac7,counterfact,v0_stable,1,101,missing_cell,False,"[100,300,1000]",False,False,unavailable,full_validation AND sampled_drift only,False,False,unavailable,unavailable
e42cd6f9b5b86feb491512f6,counterfact,v0_stable,1,102,missing_cell,False,"[100,300,1000]",False,False,unavailable,full_validation AND sampled_drift only,False,False,unavailable,unavailable
e0f2bb19e19594c972c0ef15,counterfact,v0_stable,1,103,missing_cell,False,"[100,300,1000]",False,False,unavailable,full_validation AND sampled_drift only,False,False,unavailable,unavailable
