cell_id,dataset,condition,realization,order,attempted_checkpoint,required_actual_occupancy,status,planned,scored,fires,value,wilson95,change_from_actual_100,threshold,passes
ff570734d7837a1ba9e77528,mquake,R1_nonlearned,2,101,300,300,unavailable,100,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
4fd2bc51397502cb1c085b5c,mquake,R1_nonlearned,2,102,300,300,unavailable,100,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
c0e77c94b06dd3464838be93,mquake,R1_nonlearned,2,103,300,300,unavailable,100,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
4c700c665ce70ca41e4569dd,mquake,R1_nonlearned,2,104,300,300,unavailable,100,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
cf6bd4a623aa24871f74d136,mquake,v0_stable,2,100,300,300,unavailable,100,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
519b30353f979e8028ed03e1,mquake,v0_stable,2,101,300,300,unavailable,100,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
89182e81a187807d2772cade,mquake,v0_stable,2,102,300,300,unavailable,100,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
9ad3399cfc13f1297d17423d,mquake,v0_stable,2,103,300,300,unavailable,100,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
046aa51d028b84dde8981351,mquake,v0_stable,2,104,300,300,unavailable,100,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
3f0d5de719c7c2fac0765ae9,mquake,R1_learned_ff_v2,0,100,300,300,unavailable,100,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
02fbdb7be57f6759883cb7f7,mquake,R1_learned_ff_v2,0,101,300,300,unavailable,100,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
2eafd0179259617282b6bfe4,mquake,R1_learned_ff_v2,0,102,300,300,unavailable,100,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
62b13a164930d43ad696b359,mquake,R1_learned_ff_v2,0,103,300,300,unavailable,100,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
048ddd95d61026dbf40fa6f9,mquake,R1_learned_ff_v2,0,104,300,300,unavailable,100,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
ea85d9daee87f0884e4f22e2,mquake,R1_learned_ff_v2,1,100,300,300,unavailable,100,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
7e27f3fa1620b77e96f8da6f,mquake,R1_learned_ff_v2,1,101,300,300,unavailable,100,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
46cc8880d731fbee52076712,mquake,R1_learned_ff_v2,1,102,300,300,unavailable,100,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
45c033c5bc044beea6f5562c,mquake,R1_learned_ff_v2,1,103,300,300,unavailable,100,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
be96aaad5d4e1dd91747a116,mquake,R1_learned_ff_v2,1,104,300,300,unavailable,100,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
c28a7e48a1333e1bbbca134d,mquake,R1_learned_ff_v2,2,100,300,300,unavailable,100,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
fda4c348dac5448fc10fd672,mquake,R1_learned_ff_v2,2,101,300,300,unavailable,100,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
929c713ce993539177ad3985,mquake,R1_learned_ff_v2,2,102,300,300,unavailable,100,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
47d567d51e4c0129ae905aa3,mquake,R1_learned_ff_v2,2,103,300,300,unavailable,100,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
1a7b6658a55e4798f9674c67,mquake,R1_learned_ff_v2,2,104,300,300,unavailable,100,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
