status,value,passes,operator,threshold,role,reason,dataset,condition,metric,planned_cells,available_cells,failed_cells,realization_estimates,interval95,uncertainty,equivalence
unavailable,unavailable,unavailable,ge,0.95,secondary_descriptive,complete independent three-realization/five-order populations required,zsre,matched_update,revision_latest,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,le,0.02,secondary_descriptive,complete independent three-realization/five-order populations required,zsre,matched_update,old_alias_reappearance,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,ge,0.95,secondary_descriptive,complete independent three-realization/five-order populations required,zsre,matched_update,revision_semantic,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,ge,-0.05,secondary_descriptive,complete independent three-realization/five-order populations required,zsre,matched_update,retention_change,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,ge,-0.02,secondary_descriptive,complete independent three-realization/five-order populations required,zsre,matched_update,es_change,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,ge,-0.01,secondary_descriptive,complete independent three-realization/five-order populations required,zsre,matched_update,ls_change,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,le,1,secondary_descriptive,complete independent three-realization/five-order populations required,zsre,matched_update,state_budget_ratio,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,le,1,secondary_descriptive,complete independent three-realization/five-order populations required,zsre,matched_update,peak_budget_ratio,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,le,1,secondary_descriptive,complete independent three-realization/five-order populations required,zsre,matched_update,wall_budget_ratio,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,le,0.15,secondary_descriptive,complete independent three-realization/five-order populations required,zsre,v0_live_C1,unseen_1000,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,abs_le,0.05,secondary_descriptive,complete independent three-realization/five-order populations required,zsre,v0_live_C1,outside_change_1000_100,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,ge,0.95,secondary_descriptive,complete independent three-realization/five-order populations required,zsre,v0_live_C1,revision_latest,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,le,0.02,secondary_descriptive,complete independent three-realization/five-order populations required,zsre,v0_live_C1,old_alias_reappearance,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,ge,0.95,secondary_descriptive,complete independent three-realization/five-order populations required,zsre,v0_live_C1,revision_semantic,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
