cell_id,dataset,condition,realization,order,checkpoint,reference,near_zero_loss_change,loss_positive_positions,kl_positions,kl_windows,window_mean_kl
8a4bcb6e358e98c523b0d0c3,counterfact,R1_nonlearned,1,104,1000,capoff,"{""count"":239205,""denominator"":245237,""fraction"":0.9754033852966723}","{""fraction_for_half_mass"":0.006328571952845615,""gini"":0.9851138105253285,""minimum_count_for_half_mass"":1552,""n"":245237,""positive_count"":5746,""top_shares"":{""0.001"":0.11030697499874323,""0.01"":0.6908358730777489},""total"":21814.394611191616,""zero_count"":239491}","{""fraction_for_half_mass"":0.006609932432707952,""gini"":0.9846155498696251,""minimum_count_for_half_mass"":1621,""n"":245237,""positive_count"":6032,""top_shares"":{""0.001"":0.1039667848482444,""0.01"":0.6750315545324196},""total"":21909.315794229446,""zero_count"":239205}","{""fraction_for_half_mass"":0.24443293630243398,""gini"":0.41398387866264735,""minimum_count_for_half_mass"":472,""n"":1931,""positive_count"":1790,""top_shares"":{""0.01"":0.03815435613828317,""0.05"":0.14776586119622703,""0.1"":0.2564002214053445},""total"":172.51429759235782,""zero_count"":141}","{""benchmark_pass_count"":147,""n"":1931,""quantiles"":{""0.5"":0.07897363914515104,""0.9"":0.17850160039790738,""0.99"":0.2957271705130073,""1.0"":0.4740711598024494},""strict_exceedances"":{""0.01"":1707,""0.1"":743}}"
8a4bcb6e358e98c523b0d0c3,counterfact,R1_nonlearned,1,104,1000,original,"{""count"":239205,""denominator"":245237,""fraction"":0.9754033852966723}","{""fraction_for_half_mass"":0.006328571952845615,""gini"":0.9851138105253285,""minimum_count_for_half_mass"":1552,""n"":245237,""positive_count"":5746,""top_shares"":{""0.001"":0.11030697499874323,""0.01"":0.6908358730777489},""total"":21814.394611191616,""zero_count"":239491}","{""fraction_for_half_mass"":0.006609932432707952,""gini"":0.9846155498696251,""minimum_count_for_half_mass"":1621,""n"":245237,""positive_count"":6032,""top_shares"":{""0.001"":0.1039667848482444,""0.01"":0.6750315545324196},""total"":21909.315794229446,""zero_count"":239205}","{""fraction_for_half_mass"":0.24443293630243398,""gini"":0.41398387866264735,""minimum_count_for_half_mass"":472,""n"":1931,""positive_count"":1790,""top_shares"":{""0.01"":0.03815435613828317,""0.05"":0.14776586119622703,""0.1"":0.2564002214053445},""total"":172.51429759235782,""zero_count"":141}","{""benchmark_pass_count"":147,""n"":1931,""quantiles"":{""0.5"":0.07897363914515104,""0.9"":0.17850160039790738,""0.99"":0.2957271705130073,""1.0"":0.4740711598024494},""strict_exceedances"":{""0.01"":1707,""0.1"":743}}"
144f77ff21860a8a089a8080,mquake,R1_nonlearned,1,100,300,capoff,"{""count"":244193,""denominator"":245237,""fraction"":0.9957428936090394}","{""fraction_for_half_mass"":0.0010520435333983046,""gini"":0.9974840210777788,""minimum_count_for_half_mass"":258,""n"":245237,""positive_count"":995,""top_shares"":{""0.001"":0.4823446808041993,""0.01"":1.0},""total"":3001.621130710868,""zero_count"":244242}","{""fraction_for_half_mass"":0.001072431973968039,""gini"":0.9974234102864783,""minimum_count_for_half_mass"":263,""n"":245237,""positive_count"":1044,""top_shares"":{""0.001"":0.47489438775708215,""0.01"":1.0},""total"":2970.2259102224093,""zero_count"":244193}","{""fraction_for_half_mass"":0.09269808389435526,""gini"":0.7740530608633224,""minimum_count_for_half_mass"":179,""n"":1931,""positive_count"":750,""top_shares"":{""0.01"":0.09362840399578594,""0.05"":0.3270069775755654,""0.1"":0.5275816789146658},""total"":23.38760559230244,""zero_count"":1181}","{""benchmark_pass_count"":1190,""n"":1931,""quantiles"":{""0.5"":0.0,""0.9"":0.04158885550096668,""0.99"":0.09770302894370891,""1.0"":0.1304970365539246},""strict_exceedances"":{""0.01"":592,""0.1"":18}}"
144f77ff21860a8a089a8080,mquake,R1_nonlearned,1,100,300,original,"{""count"":244193,""denominator"":245237,""fraction"":0.9957428936090394}","{""fraction_for_half_mass"":0.0010520435333983046,""gini"":0.9974840210777788,""minimum_count_for_half_mass"":258,""n"":245237,""positive_count"":995,""top_shares"":{""0.001"":0.4823446808041993,""0.01"":1.0},""total"":3001.621130710868,""zero_count"":244242}","{""fraction_for_half_mass"":0.001072431973968039,""gini"":0.9974234102864783,""minimum_count_for_half_mass"":263,""n"":245237,""positive_count"":1044,""top_shares"":{""0.001"":0.47489438775708215,""0.01"":1.0},""total"":2970.2259102224093,""zero_count"":244193}","{""fraction_for_half_mass"":0.09269808389435526,""gini"":0.7740530608633224,""minimum_count_for_half_mass"":179,""n"":1931,""positive_count"":750,""top_shares"":{""0.01"":0.09362840399578594,""0.05"":0.3270069775755654,""0.1"":0.5275816789146658},""total"":23.38760559230244,""zero_count"":1181}","{""benchmark_pass_count"":1190,""n"":1931,""quantiles"":{""0.5"":0.0,""0.9"":0.04158885550096668,""0.99"":0.09770302894370891,""1.0"":0.1304970365539246},""strict_exceedances"":{""0.01"":592,""0.1"":18}}"
3c3212c0cad597bafe0d5782,mquake,R1_nonlearned,1,101,300,capoff,"{""count"":244193,""denominator"":245237,""fraction"":0.9957428936090394}","{""fraction_for_half_mass"":0.0010520435333983046,""gini"":0.9974840210777788,""minimum_count_for_half_mass"":258,""n"":245237,""positive_count"":995,""top_shares"":{""0.001"":0.4823446808041993,""0.01"":1.0},""total"":3001.621130710868,""zero_count"":244242}","{""fraction_for_half_mass"":0.001072431973968039,""gini"":0.9974234102864783,""minimum_count_for_half_mass"":263,""n"":245237,""positive_count"":1044,""top_shares"":{""0.001"":0.47489438775708215,""0.01"":1.0},""total"":2970.2259102224093,""zero_count"":244193}","{""fraction_for_half_mass"":0.09269808389435526,""gini"":0.7740530608633224,""minimum_count_for_half_mass"":179,""n"":1931,""positive_count"":750,""top_shares"":{""0.01"":0.09362840399578594,""0.05"":0.3270069775755654,""0.1"":0.5275816789146658},""total"":23.38760559230244,""zero_count"":1181}","{""benchmark_pass_count"":1190,""n"":1931,""quantiles"":{""0.5"":0.0,""0.9"":0.04158885550096668,""0.99"":0.09770302894370891,""1.0"":0.1304970365539246},""strict_exceedances"":{""0.01"":592,""0.1"":18}}"
3c3212c0cad597bafe0d5782,mquake,R1_nonlearned,1,101,300,original,"{""count"":244193,""denominator"":245237,""fraction"":0.9957428936090394}","{""fraction_for_half_mass"":0.0010520435333983046,""gini"":0.9974840210777788,""minimum_count_for_half_mass"":258,""n"":245237,""positive_count"":995,""top_shares"":{""0.001"":0.4823446808041993,""0.01"":1.0},""total"":3001.621130710868,""zero_count"":244242}","{""fraction_for_half_mass"":0.001072431973968039,""gini"":0.9974234102864783,""minimum_count_for_half_mass"":263,""n"":245237,""positive_count"":1044,""top_shares"":{""0.001"":0.47489438775708215,""0.01"":1.0},""total"":2970.2259102224093,""zero_count"":244193}","{""fraction_for_half_mass"":0.09269808389435526,""gini"":0.7740530608633224,""minimum_count_for_half_mass"":179,""n"":1931,""positive_count"":750,""top_shares"":{""0.01"":0.09362840399578594,""0.05"":0.3270069775755654,""0.1"":0.5275816789146658},""total"":23.38760559230244,""zero_count"":1181}","{""benchmark_pass_count"":1190,""n"":1931,""quantiles"":{""0.5"":0.0,""0.9"":0.04158885550096668,""0.99"":0.09770302894370891,""1.0"":0.1304970365539246},""strict_exceedances"":{""0.01"":592,""0.1"":18}}"
5d467b73f60b99b3d07f8c02,mquake,R1_nonlearned,1,102,300,capoff,"{""count"":244193,""denominator"":245237,""fraction"":0.9957428936090394}","{""fraction_for_half_mass"":0.0010520435333983046,""gini"":0.9974840210777788,""minimum_count_for_half_mass"":258,""n"":245237,""positive_count"":995,""top_shares"":{""0.001"":0.4823446808041993,""0.01"":1.0},""total"":3001.621130710868,""zero_count"":244242}","{""fraction_for_half_mass"":0.001072431973968039,""gini"":0.9974234102864783,""minimum_count_for_half_mass"":263,""n"":245237,""positive_count"":1044,""top_shares"":{""0.001"":0.47489438775708215,""0.01"":1.0},""total"":2970.2259102224093,""zero_count"":244193}","{""fraction_for_half_mass"":0.09269808389435526,""gini"":0.7740530608633224,""minimum_count_for_half_mass"":179,""n"":1931,""positive_count"":750,""top_shares"":{""0.01"":0.09362840399578594,""0.05"":0.3270069775755654,""0.1"":0.5275816789146658},""total"":23.38760559230244,""zero_count"":1181}","{""benchmark_pass_count"":1190,""n"":1931,""quantiles"":{""0.5"":0.0,""0.9"":0.04158885550096668,""0.99"":0.09770302894370891,""1.0"":0.1304970365539246},""strict_exceedances"":{""0.01"":592,""0.1"":18}}"
5d467b73f60b99b3d07f8c02,mquake,R1_nonlearned,1,102,300,original,"{""count"":244193,""denominator"":245237,""fraction"":0.9957428936090394}","{""fraction_for_half_mass"":0.0010520435333983046,""gini"":0.9974840210777788,""minimum_count_for_half_mass"":258,""n"":245237,""positive_count"":995,""top_shares"":{""0.001"":0.4823446808041993,""0.01"":1.0},""total"":3001.621130710868,""zero_count"":244242}","{""fraction_for_half_mass"":0.001072431973968039,""gini"":0.9974234102864783,""minimum_count_for_half_mass"":263,""n"":245237,""positive_count"":1044,""top_shares"":{""0.001"":0.47489438775708215,""0.01"":1.0},""total"":2970.2259102224093,""zero_count"":244193}","{""fraction_for_half_mass"":0.09269808389435526,""gini"":0.7740530608633224,""minimum_count_for_half_mass"":179,""n"":1931,""positive_count"":750,""top_shares"":{""0.01"":0.09362840399578594,""0.05"":0.3270069775755654,""0.1"":0.5275816789146658},""total"":23.38760559230244,""zero_count"":1181}","{""benchmark_pass_count"":1190,""n"":1931,""quantiles"":{""0.5"":0.0,""0.9"":0.04158885550096668,""0.99"":0.09770302894370891,""1.0"":0.1304970365539246},""strict_exceedances"":{""0.01"":592,""0.1"":18}}"
a81b13b1b22e0bfe489daaa0,mquake,R1_nonlearned,1,103,300,capoff,"{""count"":244193,""denominator"":245237,""fraction"":0.9957428936090394}","{""fraction_for_half_mass"":0.0010520435333983046,""gini"":0.9974840210777788,""minimum_count_for_half_mass"":258,""n"":245237,""positive_count"":995,""top_shares"":{""0.001"":0.4823446808041993,""0.01"":1.0},""total"":3001.621130710868,""zero_count"":244242}","{""fraction_for_half_mass"":0.001072431973968039,""gini"":0.9974234102864783,""minimum_count_for_half_mass"":263,""n"":245237,""positive_count"":1044,""top_shares"":{""0.001"":0.47489438775708215,""0.01"":1.0},""total"":2970.2259102224093,""zero_count"":244193}","{""fraction_for_half_mass"":0.09269808389435526,""gini"":0.7740530608633224,""minimum_count_for_half_mass"":179,""n"":1931,""positive_count"":750,""top_shares"":{""0.01"":0.09362840399578594,""0.05"":0.3270069775755654,""0.1"":0.5275816789146658},""total"":23.38760559230244,""zero_count"":1181}","{""benchmark_pass_count"":1190,""n"":1931,""quantiles"":{""0.5"":0.0,""0.9"":0.04158885550096668,""0.99"":0.09770302894370891,""1.0"":0.1304970365539246},""strict_exceedances"":{""0.01"":592,""0.1"":18}}"
a81b13b1b22e0bfe489daaa0,mquake,R1_nonlearned,1,103,300,original,"{""count"":244193,""denominator"":245237,""fraction"":0.9957428936090394}","{""fraction_for_half_mass"":0.0010520435333983046,""gini"":0.9974840210777788,""minimum_count_for_half_mass"":258,""n"":245237,""positive_count"":995,""top_shares"":{""0.001"":0.4823446808041993,""0.01"":1.0},""total"":3001.621130710868,""zero_count"":244242}","{""fraction_for_half_mass"":0.001072431973968039,""gini"":0.9974234102864783,""minimum_count_for_half_mass"":263,""n"":245237,""positive_count"":1044,""top_shares"":{""0.001"":0.47489438775708215,""0.01"":1.0},""total"":2970.2259102224093,""zero_count"":244193}","{""fraction_for_half_mass"":0.09269808389435526,""gini"":0.7740530608633224,""minimum_count_for_half_mass"":179,""n"":1931,""positive_count"":750,""top_shares"":{""0.01"":0.09362840399578594,""0.05"":0.3270069775755654,""0.1"":0.5275816789146658},""total"":23.38760559230244,""zero_count"":1181}","{""benchmark_pass_count"":1190,""n"":1931,""quantiles"":{""0.5"":0.0,""0.9"":0.04158885550096668,""0.99"":0.09770302894370891,""1.0"":0.1304970365539246},""strict_exceedances"":{""0.01"":592,""0.1"":18}}"
1aff34869825a76d502d92a3,mquake,R1_nonlearned,1,104,300,capoff,"{""count"":244193,""denominator"":245237,""fraction"":0.9957428936090394}","{""fraction_for_half_mass"":0.0010520435333983046,""gini"":0.9974840210777788,""minimum_count_for_half_mass"":258,""n"":245237,""positive_count"":995,""top_shares"":{""0.001"":0.4823446808041993,""0.01"":1.0},""total"":3001.621130710868,""zero_count"":244242}","{""fraction_for_half_mass"":0.001072431973968039,""gini"":0.9974234102864783,""minimum_count_for_half_mass"":263,""n"":245237,""positive_count"":1044,""top_shares"":{""0.001"":0.47489438775708215,""0.01"":1.0},""total"":2970.2259102224093,""zero_count"":244193}","{""fraction_for_half_mass"":0.09269808389435526,""gini"":0.7740530608633224,""minimum_count_for_half_mass"":179,""n"":1931,""positive_count"":750,""top_shares"":{""0.01"":0.09362840399578594,""0.05"":0.3270069775755654,""0.1"":0.5275816789146658},""total"":23.38760559230244,""zero_count"":1181}","{""benchmark_pass_count"":1190,""n"":1931,""quantiles"":{""0.5"":0.0,""0.9"":0.04158885550096668,""0.99"":0.09770302894370891,""1.0"":0.1304970365539246},""strict_exceedances"":{""0.01"":592,""0.1"":18}}"
1aff34869825a76d502d92a3,mquake,R1_nonlearned,1,104,300,original,"{""count"":244193,""denominator"":245237,""fraction"":0.9957428936090394}","{""fraction_for_half_mass"":0.0010520435333983046,""gini"":0.9974840210777788,""minimum_count_for_half_mass"":258,""n"":245237,""positive_count"":995,""top_shares"":{""0.001"":0.4823446808041993,""0.01"":1.0},""total"":3001.621130710868,""zero_count"":244242}","{""fraction_for_half_mass"":0.001072431973968039,""gini"":0.9974234102864783,""minimum_count_for_half_mass"":263,""n"":245237,""positive_count"":1044,""top_shares"":{""0.001"":0.47489438775708215,""0.01"":1.0},""total"":2970.2259102224093,""zero_count"":244193}","{""fraction_for_half_mass"":0.09269808389435526,""gini"":0.7740530608633224,""minimum_count_for_half_mass"":179,""n"":1931,""positive_count"":750,""top_shares"":{""0.01"":0.09362840399578594,""0.05"":0.3270069775755654,""0.1"":0.5275816789146658},""total"":23.38760559230244,""zero_count"":1181}","{""benchmark_pass_count"":1190,""n"":1931,""quantiles"":{""0.5"":0.0,""0.9"":0.04158885550096668,""0.99"":0.09770302894370891,""1.0"":0.1304970365539246},""strict_exceedances"":{""0.01"":592,""0.1"":18}}"
3b70d3d44297fc1197610228,zsre,v0_stable,1,100,1000,capoff,"{""count"":244895,""denominator"":245237,""fraction"":0.9986054306650302}","{""fraction_for_half_mass"":6.932069793709758e-05,""gini"":0.9997464762133232,""minimum_count_for_half_mass"":17,""n"":245237,""positive_count"":218,""top_shares"":{""0.001"":1.0,""0.01"":1.0},""total"":442.7507700392042,""zero_count"":245019}","{""fraction_for_half_mass"":6.116532170920375e-05,""gini"":0.9997168575050854,""minimum_count_for_half_mass"":15,""n"":245237,""positive_count"":342,""top_shares"":{""0.001"":0.9881502050256172,""0.01"":0.9999999999999999},""total"":385.4688982060111,""zero_count"":244895}","{""fraction_for_half_mass"":0.007767995857068877,""gini"":0.9679204260138619,""minimum_count_for_half_mass"":15,""n"":1931,""positive_count"":295,""top_shares"":{""0.01"":0.5752467734677004,""0.05"":0.927821687613646,""0.1"":0.9829073717411662},""total"":3.0351881748504805,""zero_count"":1636}","{""benchmark_pass_count"":1745,""n"":1931,""quantiles"":{""0.5"":0.0,""0.9"":0.0009319263751531523,""0.99"":0.03746590515095804,""1.0"":0.21622960781978387},""strict_exceedances"":{""0.01"":62,""0.1"":7}}"
