cell_id,dataset,condition,realization,order,block,charged_process_seconds,uncovered_driver_seconds,failures,retries,unknown_cost,parent_decision_present,finish
43925e53c31860219a85ef90,mquake,R1_learned_ff,0,100,1,2109.122478179983,0,0,0,False,True,"{""path"": ""/home/derp/cap/pc_cap/logs/R1/final_queue/43925e53c31860219a85ef90-b350c1c6fd0b4ac199e217e6bf38ac4a/finish.json"", ""sha256"": ""272fe9aa3c94192f4f86beec5755747d97a959182ca31b6efc3aee86cc08613d"", ""wall_seconds"": 2109.122478179983}"
c29ee18fb21ba6b387ede6e8,mquake,R1_learned_ff,0,101,1,2124.4841476649744,0,0,0,False,True,"{""path"": ""/home/derp/cap/pc_cap/logs/R1/final_queue/c29ee18fb21ba6b387ede6e8-8a76da149b5e4cfa801bb48d89ca4c2a/finish.json"", ""sha256"": ""6d4e9e0a82952c98b7f8afc24f5edca37c177fa384e6e27f352b380d9fb04877"", ""wall_seconds"": 2124.4841476649744}"
54879da4dcdb0f106f98080a,mquake,R1_learned_ff,0,102,1,2091.371151319996,0,0,0,False,True,"{""path"": ""/home/derp/cap/pc_cap/logs/R1/final_queue/54879da4dcdb0f106f98080a-ae555852141d42d9a821c5b3df716476/finish.json"", ""sha256"": ""41da00b64c42712d9821d2c07628eb6c4a3b75854bce83f6ee221f0eff1cb88a"", ""wall_seconds"": 2091.371151319996}"
78ebbc03946239c1d637154c,mquake,R1_learned_ff,0,103,1,2089.3640271939803,0,0,0,False,True,"{""path"": ""/home/derp/cap/pc_cap/logs/R1/final_queue/78ebbc03946239c1d637154c-ba7bbb20329a47e68d010fdd84986f17/finish.json"", ""sha256"": ""9907eb4960506fba56639863652403e4fb73b5916bdf320cea616c57221bd9a8"", ""wall_seconds"": 2089.3640271939803}"
b1d1e53944241333ec5603d4,mquake,R1_learned_ff,0,104,1,2089.541401759954,0,0,0,False,True,"{""path"": ""/home/derp/cap/pc_cap/logs/R1/final_queue/b1d1e53944241333ec5603d4-44f9db549ecb478db03370dd6af430fb/finish.json"", ""sha256"": ""4295a89f3f8a09e150cf20a7f0f97b9d37a1342e52d150a03587f8b773e8a4f4"", ""wall_seconds"": 2089.541401759954}"
f3dbf1a3d5860a628e7d68ef,zsre,R1_nonlearned,0,100,1,2063.327230183,0,0,0,False,True,"{""path"": ""/home/derp/cap/pc_cap/logs/R1/final_queue/f3dbf1a3d5860a628e7d68ef-4068c0351c8845de81ea1cc2d684c577/finish.json"", ""sha256"": ""56d2c5f96f3127fd1f65b65d0861c07fa2604dff4368dd83750ecb5a1a88f142"", ""wall_seconds"": 2063.327230183}"
be44dfb501724b72adcbd747,zsre,R1_nonlearned,0,101,1,2174.5237805849756,0,0,0,False,True,"{""path"": ""/home/derp/cap/pc_cap/logs/R1/final_queue/be44dfb501724b72adcbd747-ba3a5514358f4b6bab33398a73620299/finish.json"", ""sha256"": ""7acf93d0bbc16719f22e004f2986b3181e25ea13370d97ecd1a63b980c0d2c8b"", ""wall_seconds"": 2174.5237805849756}"
5263d61e569d7cb4ceb4e617,zsre,R1_nonlearned,0,102,1,2208.3718546279706,0,0,0,False,True,"{""path"": ""/home/derp/cap/pc_cap/logs/R1/final_queue/5263d61e569d7cb4ceb4e617-e4a2e54af24d40ba9fa396aea4522abd/finish.json"", ""sha256"": ""38a7561ad86849d3207d6d6b40293ebe6b22ee6a953baf790f07b1d3be8fd88d"", ""wall_seconds"": 2208.3718546279706}"
81b1e9cb4e216a6cd1cd565a,zsre,R1_nonlearned,0,103,1,2137.873636854987,0,0,0,False,True,"{""path"": ""/home/derp/cap/pc_cap/logs/R1/final_queue/81b1e9cb4e216a6cd1cd565a-cc416360e8484174a8bdee8af20c885b/finish.json"", ""sha256"": ""f885cdd98cf8ee375b0dcc82ccc622205485506abf31a014960125f919e05704"", ""wall_seconds"": 2137.873636854987}"
deb5f473d9ca2ed544926204,zsre,R1_nonlearned,0,104,1,2194.497744908964,0,0,0,False,True,"{""path"": ""/home/derp/cap/pc_cap/logs/R1/final_queue/deb5f473d9ca2ed544926204-40a938be9b5344979115ecaba89f964b/finish.json"", ""sha256"": ""3a1e6a662482567923a4fc8cc94e8f3e4cc206bcc645ed6f3dd2832175662cf6"", ""wall_seconds"": 2194.497744908964}"
